Vivienda Unifamiliar,,,,,,,,,,,,
Presupuesto,,,,,,,,,,,,
Código,Nat,Ud,Resumen,Comentario,N,Longitud,Anchura,Altura,Cantidad,CanPres,Pres,ImpPres
01.01.04,Partida,m³,"Relleno envolvente y principal de zanjas para instalaciones, con tierra seleccionada procedente de la propia excavación y compac",,,,,,,17.303,0.00,0.00
,,,"Relleno envolvente y principal de zanjas para instalaciones, con tierra seleccionada procedente de la propia excavación y compactación en tongadas sucesivas de 20 cm de espesor máximo con bandeja vibrante de guiado manual, hasta alcanzar una densidad seca no inferior al 95% de la máxima obtenida en el ensayo Proctor Modificado, realizado según UNE 103501. Incluso cinta o distintivo indicador de la instalación.
Incluye: Extendido del material de relleno en tongadas de espesor uniforme. Humectación o desecación de cada tongada. Colocación de cinta o distintivo indicador de la instalación. Compactación.",,,,,,,,,
,,Spc0010,,,1.0000000000,6.690,0.500,0.500,1.673,,,
,,Spc0010,,,1.0000000000,56.160,0.500,0.500,14.040,,,
,,Spc0010,,,1.0000000000,6.360,0.500,0.500,1.590,,,
,,,,,,,,,Total 01.01.04,17.303,0.00,0.00
,,,,,,,,,,,,
01.01.05,Partida,m³,Relleno con suelo seleccionado externo,,,,,,,301.910,0.00,0.00
,,,"Relleno  compactado con suelo seleccionado procedente de préstamo externo a obra, i/carga, trasnporte, descarga en obra, extendido, riego, compactación y refino de taludes, con capa superficial de 20 cm se sustrato vegetal preparado para siembra de hierba y especifico para ello.",,,,,,,,,
,,Spc0010,,,1.0000000000,301.91,0.00,0.00,301.91,,,
,,,,,,,,,Total 01.01.05,301.910,0.00,0.00
,,,,,,,,,,,,
01.01.06,Partida,m³,"Base de pavimento realizada mediante relleno a cielo abierto, con tierra seleccionada procedente de la propia excavación, y comp",,,,,,,10.210,0.00,0.00
,,,"Base de pavimento realizada mediante relleno a cielo abierto, con tierra seleccionada procedente de la propia excavación, y compactación en tongadas sucesivas de 30 cm de espesor máximo con bandeja vibrante de guiado manual, hasta alcanzar una densidad seca no inferior al 95% de la máxima obtenida en el ensayo Proctor Modificado, realizado según UNE 103501.
Incluye: Transporte y descarga del material de relleno a pie de tajo. Extendido del material de relleno en tongadas de espesor uniforme. Humectación o desecación de cada tongada. Compactación.",,,,,,,,,
,,Spc0010,,,1.0000000000,10.210,0.000,0.000,10.210,,,
,,,,,,,,,Total 01.01.06,10.210,0.00,0.00
,,,,,,,,,,,,
,,,,,,,,,Total 01.01,1.000,0.00,0.00
,,,,,,,,,,,,
01.02,Capítulo,,Red de saneamiento horizontal,,,,,,,1.000,0.00,0.00
01.02.01,Partida,Ud,Arqueta de paso 50x50x50,,,,,,,8.000,0.00,0.00
,,,"Arqueta de paso, registrable, enterrada, construida con fábrica de ladrillo cerámico macizo, de 1/2 pie de espesor, recibido con mortero de cemento, industrial, M-5, de dimensiones interiores 50x50x50 cm, sobre solera de hormigón en masa HM-30/B/20/I+Qb de 15 cm de espesor, formación de pendiente mínima del 2%, con el mismo tipo de hormigón, enfoscada y bruñida interiormente con mortero de cemento, industrial, con aditivo hidrófugo, M-15 formando aristas y esquinas a media caña, cerrada superiormente con tapa prefabricada de hormigón armado con cierre hermético al paso de los olores mefíticos. Incluso mortero para sellado de juntas y colector de conexión de PVC, de tres entradas y una salida, con tapa de registro, para encuentros.
Incluye: Replanteo. Vertido y compactación del hormigón en formación de solera. Formación de la obra de fábrica con ladrillos, previamente humedecidos, colocados con mortero. Conexionado de los colectores a la arqueta. Relleno de hormigón para formación de pendientes. Enfoscado y bruñido con mortero, redondeando los ángulos del fondo y de las paredes interiores de la arqueta. Colocación del colector de conexión de PVC en el fondo de la arqueta. Realización del cierre hermético y colocación de la tapa y los accesorios. Comprobación de su correcto funcionamiento. Realización de pruebas de servicio.",,,,,,,,,
,,Spc0010,,,1.0000000000,1.000,0.000,0.000,1.000,,,
,,Spc0010,,,1.0000000000,1.000,0.000,0.000,1.000,,,
,,Spc0010,,,1.0000000000,1.000,0.000,0.000,1.000,,,
,,Spc0010,,,1.0000000000,1.000,0.000,0.000,1.000,,,
,,Spc0010,,,1.0000000000,1.000,0.000,0.000,1.000,,,
,,Spc0010,,,1.0000000000,1.000,0.000,0.000,1.000,,,
,,Spc0010,,,1.0000000000,1.000,0.000,0.000,1.000,,,
,,Spc0010,,,1.0000000000,1.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 01.02.01,8.000,0.00,0.00
,,,,,,,,,,,,
01.02.02,Partida,Ud,Arqueta de paso 50x50x55,,,,,,,1.000,0.00,0.00
,,,"Arqueta de paso, registrable, enterrada, construida con fábrica de ladrillo cerámico macizo, de 1/2 pie de espesor, recibido con mortero de cemento, industrial, M-5, de dimensiones interiores 50x50x55 cm, sobre solera de hormigón en masa HM-30/B/20/I+Qb de 15 cm de espesor, formación de pendiente mínima del 2%, con el mismo tipo de hormigón, enfoscada y bruñida interiormente con mortero de cemento, industrial, con aditivo hidrófugo, M-15 formando aristas y esquinas a media caña, cerrada superiormente con tapa prefabricada de hormigón armado con cierre hermético al paso de los olores mefíticos. Incluso mortero para sellado de juntas y colector de conexión de PVC, de tres entradas y una salida, con tapa de registro, para encuentros.
Incluye: Replanteo. Vertido y compactación del hormigón en formación de solera. Formación de la obra de fábrica con ladrillos, previamente humedecidos, colocados con mortero. Conexionado de los colectores a la arqueta. Relleno de hormigón para formación de pendientes. Enfoscado y bruñido con mortero, redondeando los ángulos del fondo y de las paredes interiores de la arqueta. Colocación del colector de conexión de PVC en el fondo de la arqueta. Realización del cierre hermético y colocación de la tapa y los accesorios. Comprobación de su correcto funcionamiento. Realización de pruebas de servicio.",,,,,,,,,
01.02.03,Partida,m,Acometida general de saneamiento,,,,,,,6.360,0.00,0.00
,,,"Acometida general de saneamiento, para la evacuación de aguas residuales y/o pluviales a la red general del municipio, con una pendiente mínima del 2%, para la evacuación de aguas residuales y/o pluviales, formada por tubo de PVC liso, serie SN-4, rigidez anular nominal 4 kN/m², de 110 mm de diámetro exterior, pegado mediante adhesivo, colocado sobre lecho de arena de 10 cm de espesor, debidamente compactada y nivelada con pisón vibrante de guiado manual, relleno lateral compactando hasta los riñones y posterior relleno con la misma arena hasta 30 cm por encima de la generatriz superior de la tubería, con sus correspondientes juntas y piezas especiales. Incluso líquido limpiador y adhesivo para tubos y accesorios de PVC y hormigón en masa HM-20/P/20/I para la posterior reposición del firme existente.
Incluye: Replanteo y trazado de la acometida en planta y pendientes. Rotura del pavimento con compresor. Presentación en seco de tubos y piezas especiales. Vertido de la arena en el fondo de la zanja. Descenso y colocación de los colectores en el fondo de la zanja. Montaje, conexionado y comprobación de su correcto funcionamiento. Ejecución del relleno envolvente. Realización de pruebas de servicio.",,,,,,,,,
01.02.04,Partida,Ud,Conexión de la acometida del edificio a la red general de saneamiento del municipio,,,,,,,2.000,0.00,0.00
,,,"Conexión de la acometida del edificio a la red general de saneamiento del municipio a través de pozo de registro. Incluso junta flexible para el empalme de la acometida y mortero de cemento para repaso y bruñido en el interior del pozo.
Incluye: Replanteo y trazado de la conexión en el pozo de registro. Rotura del pozo con compresor. Montaje, conexionado y comprobación de su correcto funcionamiento. Realización de pruebas de servicio.",,,,,,,,,
01.02.05,Partida,m,Colector enterrado de red horizontal de saneamiento,,,,,,,56.160,0.00,0.00
,,,"Colector enterrado de red horizontal de saneamiento, sin arquetas, mediante sistema integral registrable, con una pendiente mínima del 2%, para la evacuación de aguas residuales y/o pluviales, formado por tubo de PVC liso, serie SN-4, rigidez anular nominal 4 kN/m², de 110 mm de diámetro exterior, con junta elástica, colocado sobre lecho de arena de 10 cm de espesor, debidamente compactada y nivelada con pisón vibrante de guiado manual, relleno lateral compactando hasta los riñones y posterior relleno con la misma arena hasta 30 cm por encima de la generatriz superior de la tubería. Incluso accesorios, registros, uniones, piezas especiales y lubricante para montaje.
Incluye: Replanteo y trazado del conducto en planta y pendientes. Presentación en seco de tubos y piezas especiales. Vertido de la arena en el fondo de la zanja. Descenso y colocación de los colectores en el fondo de la zanja. Montaje, conexionado y comprobación de su correcto funcionamiento. Ejecución del relleno envolvente. Realización de pruebas de servicio.",,,,,,,,,
01.02.06,Partida,m,"Zanja drenante con una pendiente mínima del 0,50%,",,,,,,,62.220,0.00,0.00
,,,"Zanja drenante con una pendiente mínima del 0,50%, para captación de aguas subterráneas, en cuyo fondo se dispone un tubo ranurado de PVC de doble pared, la exterior corrugada y la interior lisa, color teja RAL 8023, con ranurado a lo largo de un arco de 220° en el valle del corrugado, para drenaje, rigidez anular nominal 4 kN/m², de 110 mm de diámetro, según UNE-EN 13476-1, longitud nominal 6 m, unión por copa con junta elástica de EPDM, colocado sobre solera de hormigón en masa HM-20/B/20/I, de 10 cm de espesor, en forma de cuna para recibir el tubo y formar las pendientes, con relleno lateral y superior hasta 25 cm por encima de la generatriz superior del tubo con grava filtrante sin clasificar. Incluso lubricante para montaje.
Incluye: Replanteo y trazado del conducto en planta y pendientes. Formación de la solera de hormigón. Descenso y colocación de los tubos en el fondo de la zanja. Montaje, conexionado y comprobación de su correcto funcionamiento. Ejecución del relleno envolvente. Realización de pruebas de servicio.",,,,,,,,,
01.02.07,Partida,Ud,Instalación de sumidero sifónico de PVC,,,,,,,2.000,0.00,0.00
,,,"Instalación de sumidero sifónico de PVC, de salida vertical de 75 mm de diámetro, con rejilla de PVC de 200x200 mm, para recogida de aguas pluviales o de locales húmedos. Incluso accesorios de montaje, piezas especiales y elementos de sujeción.
Incluye: Replanteo y trazado. Montaje, conexionado y comprobación de su correcto funcionamiento.",,,,,,,,,
01.02.08,Partida,m,Sumidero longitudinal de fábrica,,,,,,,5.150,0.00,0.00
,,,"Sumidero longitudinal de fábrica, de 200 mm de anchura interior y 400 mm de altura, con rejilla de acero galvanizado, clase A-15 según UNE-EN 124 y UNE-EN 1433; previa excavación con medios manuales y posterior relleno del trasdós con hormigón.
Incluye: Replanteo del recorrido del sumidero longitudinal. Excavación con medios manuales. Eliminación de las tierras sueltas del fondo de la excavación. Vertido y compactación del hormigón en formación de solera. Formación de la obra de fábrica con ladrillos, previamente humedecidos, colocados con mortero. Ejecución de taladros para el conexionado de la tubería al sumidero longitudinal. Empalme y rejuntado de la tubería al sumidero longitudinal. Colocación del sifón en línea. Enfoscado y bruñido por el interior con mortero de cemento, redondeando ángulos. Relleno del trasdós. Colocación del marco y la rejilla. Comprobación de su correcto funcionamiento.",,,,,,,,,
01.02.09,Partida,Ud,"Pozo filtrante, para la recogida de aguas pluviales",,,,,,,2.000,0.00,0.00
,,,"Pozo filtrante, para la recogida de aguas pluviales, drenante prefabricado de polietileno de alta densidad, de 1 m de altura y 0,50 m de diámetro exterior. Incluso material para conexiones, grava de relleno, remates y material elastómero para ajuste entre tapa y marco.
Incluye: Replanteo. Colocación de la malla electrosoldada. Vertido y compactación del hormigón en formación de solera. Montaje. Conexionado de los colectores al pozo. Colocación de marco, tapa de registro y accesorios. Comprobación de su correcto funcionamiento.",,,,,,,,,
01.02.10,Partida,Ud,Pozo de registro,,,,,,,2.000,0.00,0.00
,,,"Pozo de registro, de 0,60 m de diámetro interior y de 0,65 m de altura útil interior, de elementos prefabricados de hormigón en masa, sobre solera de 25 cm de espesor de hormigón armado HA-30/B/20/IIb+Qb ligeramente armada con malla electrosoldada, con cierre de tapa circular estanca con bloqueo y marco de fundición clase D-400 según UNE-EN 124, instalado en calzadas de calles, incluyendo las peatonales, o zonas de aparcamiento para todo tipo de vehículos.
Incluye: Replanteo. Colocación de la malla electrosoldada. Vertido y compactación del hormigón en formación de solera. Montaje. Formación del canal en el fondo del pozo. Conexionado de los colectores al pozo. Colocación de los pates. Vertido y compactación del hormigón para formación de la losa alrededor de la boca del cono. Colocación de marco, tapa de registro y accesorios. Comprobación de su correcto funcionamiento.",,,,,,,,,
,,,,,,,,,Total 01.02,1.000,0.00,0.00
,,,,,,,,,,,,
01.03,Capítulo,,Nivelación,,,,,,,1.000,0.00,0.00
01.03.01,Partida,m²,Solera ventilada de hormigón armado de 25+5 cm de canto acabado pulido y barnizada,,,,,,,61.050,0.00,0.00
,,,"Solera ventilada de hormigón armado de 25+5 cm de canto, sobre encofrado perdido de módulos de polipropileno reciclado, realizada con hormigón HA-25/B/12/IIa fabricado en central, y vertido con cubilote, y malla electrosoldada ME 15x15 Ø 6-6 B 500 T 6x2,20 UNE-EN 10080 como armadura de reparto, colocada sobre separadores homologados en capa de compresión de 5 cm de espesor; con acabado Acabado acabado natural y tratado superficialmente mediante fratasadora y pulidora superficial de barnizado mediante barniz bicomponente transparente mate de poliuretano resistente a ralladuras, a realizar pruebas para aceptación e la D.F. y propiedad.y juntas de retracción de 5 mm de espesor, mediante corte con disco de diamante; apoyado todo ello sobre base de hormigón de limpieza. Incluso panel de poliestireno expandido de 3 cm de espesor, para la ejecución de juntas de dilatación.
Incluye: Replanteo de las piezas. Corte de las piezas. Colocación y montaje de las piezas. Resolución de encuentros. Realización de los orificios de paso de instalaciones. Colocación de los elementos para paso de instalaciones. Colocación de la malla electrosoldada. Vertido, extendido y vibrado del hormigón. Regleado y nivelación de la capa de compresión. Curado del hormigón. Replanteo de las juntas de retracción. Corte del hormigón. Limpieza final de las juntas de retracción.",,,,,,,,,
,,Spc0010,,Planta Sótano,1.0000000000,61.050,0.000,0.000,61.050,,,
,,,,,,,,,Total 01.03.01,61.050,0.00,0.00
,,,,,,,,,,,,
01.03.03,Partida,m²,"Solera de hormigón armado de 15 cm de espesor, realizada con hormigón HA-25/B/20/IIa fabricado en central, y vertido desde camió",,,,,,,182.320,0.00,0.00
,,,"Solera de hormigón armado de 15 cm de espesor, realizada con hormigón HA-25/B/20/IIa fabricado en central, y vertido desde camión, y malla electrosoldada ME 15x15 Ø 6-6 B 500 T 6x2,20 UNE-EN 10080 como armadura de reparto, colocada sobre separadores homologados, extendido y vibrado manual mediante regla vibrante, con acabado superficial mediante semipulido mecánico con juntas de retracción de 5 mm de espesor, mediante corte con disco de diamante. Incluso panel de poliestireno expandido de 3 cm de espesor, para la ejecución de juntas de dilatación.
Incluye: Preparación de la superficie de apoyo del hormigón. Replanteo de las juntas de construcción y de dilatación. Tendido de niveles mediante toques, maestras de hormigón o reglas. Riego de la superficie base. Formación de juntas de construcción y de juntas perimetrales de dilatación. Colocación de la malla electrosoldada con separadores homologados. Vertido, extendido y vibrado del hormigón. Conexión de los elementos exteriores. Curado del hormigón. Fratasado mecánico de la superficie. Replanteo de las juntas de retracción. Corte del hormigón. Limpieza final de las juntas de retracción.",,,,,,,,,
,,Spc0010,,Soleras exteriores,1.0000000000,37.700,0.000,0.000,37.700,,,
,,Spc0010,,,1.0000000000,14.600,0.000,0.000,14.600,,,
,,Spc0010,,,1.0000000000,34.580,0.000,0.000,34.580,,,
,,Spc0010,,,1.0000000000,55.310,0.000,0.000,55.310,,,
,,Spc0010,,,1.0000000000,34.910,0.000,0.000,34.910,,,
,,Spc0010,,,1.0000000000,5.220,0.000,0.000,5.220,,,
,,,,,,,,,Total 01.03.03,182.320,0.00,0.00
,,,,,,,,,,,,
01.03.04,Partida,m²,"Encachado en caja para base de solera de 10 cm de espesor, mediante relleno y extendido en tongadas de espesor no superior a 20",,,,,,,182.320,0.00,0.00
,,,"Encachado en caja para base de solera de 10 cm de espesor, mediante relleno y extendido en tongadas de espesor no superior a 20 cm de gravas procedentes de cantera caliza de 40/80 mm; y posterior compactación mediante equipo manual con bandeja vibrante, sobre la explanada homogénea y nivelada.
Incluye: Transporte y descarga del material de relleno a pie de tajo. Extendido del material de relleno en tongadas de espesor uniforme. Humectación o desecación de cada tongada. Compactación y nivelación.",,,,,,,,,
,,Spc0010,,Soleras exteriores,1.0000000000,37.700,0.000,0.000,37.700,,,
,,Spc0010,,,1.0000000000,14.600,0.000,0.000,14.600,,,
,,Spc0010,,,1.0000000000,34.580,0.000,0.000,34.580,,,
,,Spc0010,,,1.0000000000,55.310,0.000,0.000,55.310,,,
,,Spc0010,,,1.0000000000,34.910,0.000,0.000,34.910,,,
,,Spc0010,,,1.0000000000,5.220,0.000,0.000,5.220,,,
,,,,,,,,,Total 01.03.04,182.320,0.00,0.00
,,,,,,,,,,,,
01.03.05,Partida,m³,"+Murete cierre de solera de hormigón armado, realizado con hormigón HA-25/B/20/IIa fabricado en central, y vertido con cubilote,",,,,,,,0.764,0.00,0.00
,,,"Murete cierre de solera de hormigón armado, realizado con hormigón HA-25/B/20/IIa fabricado en central, y vertido con cubilote, y acero UNE-EN 10080 B 500 S, con una cuantía según planos de estructuras. Incluso alambre de atar y separadores.
Incluye: Colocación de la armadura con separadores homologados. Resolución de juntas de construcción. Limpieza de la base de apoyo del muro en la cimentación. Vertido y compactación del hormigón. Curado del hormigón. Reparación de defectos superficiales, si procede.",,,,,,,,,
,,Spc0010,,planta baja,,,,,0.000,,,
,,Spc0010,,,1.0000000000,1.770,0.250,0.300,0.133,,,
,,Spc0010,,,1.0000000000,7.700,0.250,0.300,0.578,,,
,,Spc0010,,,1.0000000000,1.500,0.120,0.300,0.054,,,
,,,,,,,,,Total 01.03.05,0.764,0.00,0.00
,,,,,,,,,,,,
,,,,,,,,,Total 01.03,1.000,0.00,0.00
,,,,,,,,,,,,
01.04,Capítulo,,Demoliciones,,,,,,,1.000,0.00,0.00
01.04.01,Partida,m3,Demolición de murete de H-armado c/mart+compr,,,,,,,0.113,0.00,0.00
,,,"Demolición de muro de hormigón armado con corte de radial, martillo rompedor y compresor de aire, i/retirada de escombros y carga, según NTE/ADD-15-16.",,,,,,,,,
,,Spc0010,,Coronación de muro posterior de cuarto de instalaciones,1.0000000000,3.00,0.25,0.15,0.11,,,
,,,,,,,,,Total 01.04.01,0.113,0.00,0.00
,,,,,,,,,,,,
,,,,,,,,,Total 01.04,1.000,0.00,0.00
,,,,,,,,,,,,
,,,,,,,,,Total 01,1,0.00,0.00
,,,,,,,,,,,,
02,Capítulo,,Cimentaciones,,,,,,,1,0.00,0.00
02.01,Capítulo,,Regularización,,,,,,,1.000,0.00,0.00
02.01.01,Partida,m²,"Capa de hormigón de limpieza y nivelado de fondos de cimentación, de 10 cm de espesor, de hormigón HL-150/B/20, fabricado en cen",,,,,,,34.050,0.00,0.00
,,,"Capa de hormigón de limpieza y nivelado de fondos de cimentación, de 10 cm de espesor, de hormigón HL-150/B/20, fabricado en central y vertido desde camión, en el fondo de la excavación previamente realizada.
Incluye: Replanteo. Colocación de toques y/o formación de maestras. Vertido y compactación del hormigón. Coronación y enrase del hormigón.",,,,,,,,,
,,Spc0010,,REVISAR MURETES,,,,,0.000,,,
,,Spc0010,,Zapatas muros contención,1.0000000000,34.050,1.000,0.000,34.050,,,
,,,,,,,,,Total 02.01.01,34.050,0.00,0.00
,,,,,,,,,,,,
,,,,,,,,,Total 02.01,1.000,0.00,0.00
,,,,,,,,,,,,
,,,,,,,,,Total 02,1,0.00,0.00
,,,,,,,,,,,,
03,Capítulo,,Estructuras,,,,,,,1,0.00,0.00
03.01,Capítulo,,Acero,,,,,,,1.000,0.00,0.00
03.01.01,Partida,kg,"Acero UNE-EN 10025 S275JR, en vigas formadas por piezas simples de perfiles laminados en caliente de las series IPN, IPE, HEB, H",,,,,,,"2,457.980",0.00,0.00
,,,"Acero UNE-EN 10025 S275JR, en vigas formadas por piezas simples de perfiles laminados en caliente de las series IPN, IPE, HEB, HEA, HEM o UPN, acabado con imprimación antioxidante, con uniones soldadas en obra, a una altura de hasta 3 m.
Incluye: Limpieza y preparación del plano de apoyo. Replanteo y marcado de los ejes. Colocación y fijación provisional de la viga. Aplomado y nivelación. Ejecución de las uniones soldadas.",,,,,,,,,
,,Spc0010,,IPE 180,7.0000000000,5.750,18.800,0.000,756.700,,,
,,Spc0010,,,3.0000000000,2.100,18.800,0.000,118.440,,,
,,Spc0010,,,11.0000000000,6.500,18.800,0.000,"1,344.200",,,
,,Spc0010,,,2.0000000000,3.100,18.800,0.000,116.560,,,
,,Spc0010,,IPE 200,1.0000000000,4.250,22.400,0.000,95.200,,,
,,Spc0010,,,1.0000000000,1.200,22.400,0.000,26.880,,,
,,,,,,,,,Total 03.01.01,"2,457.980",0.00,0.00
,,,,,,,,,,,,
03.01.02,Partida,kg,"Acero UNE-EN 10025 S275JR, en pilares formados por piezas simples de perfiles laminados en caliente de las series IPN, IPE, HEB,",,,,,,,156.060,0.00,0.00
,,,"Acero UNE-EN 10025 S275JR, en pilares formados por piezas simples de perfiles laminados en caliente de las series IPN, IPE, HEB, HEA, HEM o UPN, acabado con imprimación antioxidante, colocado con uniones soldadas en obra, a una altura de hasta 3 m.
Incluye: Limpieza y preparación del plano de apoyo. Replanteo y marcado de los ejes. Colocación y fijación provisional del pilar. Aplomado y nivelación. Ejecución de las uniones soldadas.",,,,,,,,,
,,Spc0010,,HEB 100,1.0000000000,0.000,20.400,2.200,44.880,,,
,,Spc0010,,,1.0000000000,0.000,20.400,2.900,59.160,,,
,,Spc0010,,,1.0000000000,0.000,20.400,2.550,52.020,,,
,,,,,,,,,Total 03.01.02,156.060,0.00,0.00
,,,,,,,,,,,,
03.01.03,Partida,kg,"Acero UNE-EN 10210-1 S275J0H, en pilares formados por piezas simples de perfiles huecos acabados en caliente de las series redon",,,,,,,63.280,0.00,0.00
,,,"Acero UNE-EN 10210-1 S275J0H, en pilares formados por piezas simples de perfiles huecos acabados en caliente de las series redondo, cuadrado o rectangular, acabado con imprimación antioxidante, colocado con uniones soldadas en obra, a una altura de hasta 3 m.
Incluye: Limpieza y preparación del plano de apoyo. Replanteo y marcado de los ejes. Colocación y fijación provisional del pilar. Aplomado y nivelación. Ejecución de las uniones soldadas.",,,,,,,,,
,,Spc0010,,SHS 80.5,2.0000000000,0.000,11.300,2.800,63.280,,,
,,,,,,,,,Total 03.01.03,63.280,0.00,0.00
,,,,,,,,,,,,
03.01.04,Partida,Ud,"Placa de anclaje de acero UNE-EN 10025 S275JR en perfil plano, con taladro central, de 250x250 mm y espesor 15 mm, y montaje sob",,,,,,,5.000,0.00,0.00
,,,"Placa de anclaje de acero UNE-EN 10025 S275JR en perfil plano, con taladro central, de 250x250 mm y espesor 15 mm, y montaje sobre 4 pernos de acero corrugado UNE-EN 10080 B 500 S de 16 mm de diámetro y 20 cm de longitud total, embutidos en el hormigón fresco, y atornillados con arandelas, tuerca y contratuerca una vez endurecido el hormigón del cimiento. Incluso mortero autonivelante expansivo para relleno del espacio resultante entre el hormigón endurecido y la placa y protección anticorrosiva aplicada a las tuercas y extremos de los pernos.
Incluye: Limpieza y preparación de la superficie de apoyo. Replanteo y marcado de los ejes. Colocación y fijación provisional de la placa. Aplomado y nivelación. Relleno con mortero. Aplicación de la protección anticorrosiva.",,,,,,,,,
,,Spc0010,,HEB,3.0000000000,0.000,0.000,0.000,3.000,,,
,,Spc0010,,SHS 80.5,2.0000000000,0.000,0.000,0.000,2.000,,,
,,,,,,,,,Total 03.01.04,5.000,0.00,0.00
,,,,,,,,,,,,
03.01.05,Partida,Ud,"Placa de anclaje de acero UNE-EN 10025 S275JR en perfil plano, con taladro central, de 250x250 mm y espesor 12 mm, y montaje sob",,,,,,,1.000,0.00,0.00
,,,"Placa de anclaje de acero UNE-EN 10025 S275JR en perfil plano, con taladro central, de 250x250 mm y espesor 12 mm, y montaje sobre 4 pernos de acero corrugado UNE-EN 10080 B 500 S de 16 mm de diámetro y 20 cm de longitud total, embutidos en el hormigón fresco, y atornillados con arandelas, tuerca y contratuerca una vez endurecido el hormigón del cimiento. Incluso mortero autonivelante expansivo para relleno del espacio resultante entre el hormigón endurecido y la placa y protección anticorrosiva aplicada a las tuercas y extremos de los pernos.
Incluye: Limpieza y preparación de la superficie de apoyo. Replanteo y marcado de los ejes. Colocación y fijación provisional de la placa. Aplomado y nivelación. Relleno con mortero. Aplicación de la protección anticorrosiva.",,,,,,,,,
,,Spc0010,,IPE 200,1.0000000000,0.000,0.000,0.000,1.000,,,
,,,,,,,,,Total 03.01.05,1.000,0.00,0.00
,,,,,,,,,,,,
03.01.06,Partida,Ud,"Placa de anclaje de acero UNE-EN 10025 S275JR en perfil plano, con taladro central, de 250x250 mm y espesor 12 mm, y montaje sob",,,,,,,29.000,0.00,0.00
,,,"Placa de anclaje de acero UNE-EN 10025 S275JR en perfil plano, con taladro central, de 250x250 mm y espesor 12 mm, y montaje sobre 4 pernos de acero corrugado UNE-EN 10080 B 500 S de 12 mm de diámetro y 20 cm de longitud total, embutidos en el hormigón fresco, y atornillados con arandelas, tuerca y contratuerca una vez endurecido el hormigón del cimiento. Incluso mortero autonivelante expansivo para relleno del espacio resultante entre el hormigón endurecido y la placa y protección anticorrosiva aplicada a las tuercas y extremos de los pernos.
Incluye: Limpieza y preparación de la superficie de apoyo. Replanteo y marcado de los ejes. Colocación y fijación provisional de la placa. Aplomado y nivelación. Relleno con mortero. Aplicación de la protección anticorrosiva.",,,,,,,,,
,,Spc0010,,IPE 180,29.0000000000,0.000,0.000,0.000,29.000,,,
